# METADATA:
# ME098: [MAE] ESPE - PARIS
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
ME098;2026-06-10 00:00:00;14.5;1015.4;81;11.1;0;;271;;0
ME098;2026-06-10 00:10:00;14.5;1015.4;80;11.1;0;;271;;
ME098;2026-06-10 00:20:00;14.4;1015.3;79;11.1;0;;271;;
ME098;2026-06-10 00:30:00;14.4;1015.2;78;10.6;0;;271;;
ME098;2026-06-10 00:40:00;14.4;1015.1;78;10.6;0;;271;;
ME098;2026-06-10 00:50:00;14.3;1015;78;10.6;0;;271;;
ME098;2026-06-10 01:00:00;14.3;1015;78;10.6;0;;271;;0
ME098;2026-06-10 01:10:00;14.2;1015;78;10.6;0;;271;;
ME098;2026-06-10 01:20:00;14.1;1015;77;10;0;;271;;
ME098;2026-06-10 01:30:00;14.1;1015;78;10.6;0;;271;;
ME098;2026-06-10 01:40:00;14.1;1014.9;78;10.6;0;;271;;
ME098;2026-06-10 01:50:00;14.1;1014.9;79;10.6;0;;271;;
ME098;2026-06-10 02:00:00;14.1;1014.9;79;10.6;0;;271;;0
ME098;2026-06-10 02:10:00;14.1;1014.9;79;10.6;0;;271;;
ME098;2026-06-10 02:20:00;14.1;1014.9;79;10.6;0;;271;;
ME098;2026-06-10 02:30:00;14.1;1014.9;78;10.6;0;;271;;
ME098;2026-06-10 02:40:00;14.1;1015;78;10.6;0;;271;;
ME098;2026-06-10 02:50:00;14.1;1015.1;79;10.6;0;;271;;
ME098;2026-06-10 03:00:00;14.1;1015;79;10.6;0;;271;;0
ME098;2026-06-10 03:10:00;14;1014.9;80;10.6;0;;271;;
ME098;2026-06-10 03:20:00;13.9;1014.9;80;10.6;0;;271;;
ME098;2026-06-10 03:30:00;13.8;1015;80;10.6;0;;271;;
ME098;2026-06-10 03:40:00;13.7;1015.1;80;10.6;0;;271;;
ME098;2026-06-10 03:50:00;13.6;1015.1;80;10;0;;271;;
