station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_direction_deg;pluie_1h_mm;pleut_il
000CT;2025-10-01 00:00:00;13.5;1028.0;78.0;9.7;6.4;338.0;0.0;0
000CT;2025-10-01 01:00:00;13.1;1028.0;80.0;9.7;4.8;24.0;0.0;0
000CT;2025-10-01 02:00:00;13.1;1027.9;80.0;9.7;4.8;20.0;0.0;0
000CT;2025-10-01 03:00:00;12.8;1027.8;81.0;9.7;4.8;50.0;0.0;0
000CT;2025-10-01 04:00:00;12.4;1027.9;83.0;9.6;4.8;21.0;0.0;0
000CT;2025-10-01 05:00:00;12.2;1028.3;83.0;9.4;3.2;350.0;0.0;0
000CT;2025-10-01 06:00:00;12.1;1028.7;84.0;9.4;3.2;346.0;0.0;0
000CT;2025-10-01 07:00:00;12.2;1029.0;84.0;9.6;1.6;316.0;0.0;0
000CT;2025-10-01 08:00:00;12.9;1029.2;82.0;9.9;3.2;329.0;0.0;0
000CT;2025-10-01 09:00:00;14.2;1029.4;78.0;10.4;4.8;16.0;0.0;0
000CT;2025-10-01 10:00:00;16.3;1029.6;70.0;10.8;3.2;331.0;0.0;0
000CT;2025-10-01 11:00:00;17.7;1029.3;61.0;10.1;3.2;126.0;0.0;0
000CT;2025-10-01 12:00:00;18.7;1029.1;52.0;8.6;3.2;144.0;0.0;0
000CT;2025-10-01 13:00:00;19.7;1028.8;50.0;9.0;3.2;339.0;0.0;0
000CT;2025-10-01 14:00:00;19.7;1028.6;51.0;9.3;4.8;69.0;0.0;0
000CT;2025-10-01 15:00:00;19.9;1028.4;51.0;9.4;3.2;94.0;0.0;0
000CT;2025-10-01 16:00:00;19.2;1028.3;54.0;9.7;6.4;95.0;0.0;0
000CT;2025-10-01 17:00:00;18.8;1028.4;55.0;9.5;3.2;13.0;0.0;0
000CT;2025-10-01 18:00:00;18.2;1028.7;59.0;10.0;3.2;106.0;0.0;0
000CT;2025-10-01 19:00:00;17.5;1028.9;62.0;10.1;1.6;98.0;0.0;0
000CT;2025-10-01 20:00:00;17.2;1029.0;65.0;10.5;1.6;139.0;0.0;0
000CT;2025-10-01 21:00:00;16.9;1029.0;65.0;10.3;0.0;99.0;0.0;0
000CT;2025-10-01 22:00:00;16.7;1028.7;66.0;10.3;4.8;159.0;0.0;0
000CT;2025-10-01 23:00:00;15.9;1028.6;71.0;10.6;0.0;138.0;0.0;0
000CT;2025-10-02 00:00:00;15.3;1028.6;73.0;10.5;0.0;148.0;0.0;0
000CT;2025-10-02 01:00:00;14.9;1028.8;74.0;10.3;0.0;149.0;0.0;0
000CT;2025-10-02 02:00:00;14.4;1028.3;73.0;9.6;1.6;140.0;0.0;0
000CT;2025-10-02 03:00:00;13.8;1028.1;76.0;9.6;1.6;140.0;0.0;0
000CT;2025-10-02 04:00:00;13.3;1028.1;77.0;9.3;1.6;143.0;0.0;0
000CT;2025-10-02 05:00:00;13.0;1028.2;77.0;9.1;0.0;159.0;0.0;0
000CT;2025-10-02 06:00:00;12.4;1028.4;77.0;8.5;0.0;173.0;0.0;0
000CT;2025-10-02 07:00:00;12.8;1028.9;73.0;8.1;1.6;115.0;0.0;0
000CT;2025-10-02 08:00:00;13.8;1029.0;68.0;8.0;4.8;143.0;0.0;0
000CT;2025-10-02 09:00:00;15.6;1028.8;59.0;7.6;4.8;271.0;0.0;0
000CT;2025-10-02 10:00:00;16.9;1028.3;49.0;6.1;4.8;74.0;0.0;0
000CT;2025-10-02 11:00:00;17.5;1027.6;47.0;6.1;6.4;157.0;0.0;0
000CT;2025-10-02 12:00:00;18.6;1027.3;44.0;6.1;3.2;136.0;0.0;0
000CT;2025-10-02 13:00:00;19.2;1026.7;42.0;5.9;3.2;59.0;0.0;0
000CT;2025-10-02 14:00:00;18.9;1026.0;43.0;6.0;4.8;55.0;0.0;0
000CT;2025-10-02 15:00:00;18.6;1025.3;45.0;6.4;3.2;177.0;0.0;0
000CT;2025-10-02 16:00:00;17.8;1025.1;45.0;5.7;4.8;153.0;0.0;0
000CT;2025-10-02 17:00:00;17.2;1024.8;49.0;6.4;4.8;161.0;0.0;0
000CT;2025-10-02 18:00:00;16.6;1024.9;52.0;6.7;4.8;117.0;0.0;0
000CT;2025-10-02 19:00:00;16.1;1024.8;55.0;7.0;3.2;130.0;0.0;0
