# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-10 07:10:00;14.4;1018.5;67;8.3;2.4;;326;;
000EW;2026-06-10 07:20:00;14.6;1018.6;65;8.1;4.8;;248;;
000EW;2026-06-10 07:30:00;14.7;1018.5;62;7.5;4.8;;225;;
000EW;2026-06-10 07:40:00;14.9;1018.5;61;7.5;4.8;;156;;
000EW;2026-06-10 07:50:00;15.1;1018.4;63;8.1;4.8;;79;;
000EW;2026-06-10 08:00:00;15.2;1018.4;62;8;3.2;;56;0;0
000EW;2026-06-10 08:10:00;15.6;1018.4;61;8.1;4;;248;;
000EW;2026-06-10 08:20:00;16;1018.4;52;6.1;4;;56;;
000EW;2026-06-10 08:30:00;16.2;1018.3;51;6;4.8;;259;;
000EW;2026-06-10 08:40:00;16.4;1018.3;50;5.9;5.6;;56;;
000EW;2026-06-10 08:50:00;16.6;1018.3;51;6.4;6.4;;248;;
000EW;2026-06-10 09:00:00;17.1;1018.3;52;7.2;4.8;;236;0;0
000EW;2026-06-10 09:10:00;17.2;1018.3;53;7.5;6.4;;236;;
000EW;2026-06-10 09:20:00;17.3;1018.4;52;7.4;4.8;;236;;
000EW;2026-06-10 09:30:00;17.2;1018.4;53;7.6;4.8;;259;;
000EW;2026-06-10 09:40:00;16.8;1018.5;55;7.7;5.6;;259;;
000EW;2026-06-10 09:50:00;16.6;1018.5;56;7.7;4.8;;349;;
000EW;2026-06-10 10:00:00;16.3;1018.6;58;8;4;;349;0;0
000EW;2026-06-10 10:10:00;16.1;1018.7;59;8.1;5.6;;326;;
000EW;2026-06-10 10:20:00;16.4;1018.7;59;8.4;4;;79;;
000EW;2026-06-10 10:30:00;16.7;1018.8;55;7.6;5.6;;326;;
000EW;2026-06-10 10:40:00;16.8;1018.7;55;7.7;6.4;;236;;
000EW;2026-06-10 10:50:00;16.9;1018.7;54;7.6;5.6;;236;;
000EW;2026-06-10 11:00:00;16.8;1018.7;51;6.6;6.4;;248;0;0
000EW;2026-06-10 11:10:00;17.2;1018.6;52;7.2;6.4;;270;;
000EW;2026-06-10 11:20:00;17.8;1018.6;49;6.9;4.8;;248;;
000EW;2026-06-10 11:30:00;18.2;1018.5;48;7;6.4;;214;;
000EW;2026-06-10 11:40:00;18.3;1018.5;48;7.1;6.4;;270;;
000EW;2026-06-10 11:50:00;18.9;1018.7;48;7.6;6.4;;248;;
000EW;2026-06-10 12:00:00;17.9;1018.8;57;9.3;6.4;;180;0;0
000EW;2026-06-10 12:10:00;17.4;1018.8;57;8.8;5.6;;180;;
000EW;2026-06-10 12:20:00;17.3;1018.7;55;8.1;5.6;;214;;
